time,A1,A2,A3,A4,A5,A6,A7
07/12/2023 14:00,0,0.000293098,1.97E-05,0,0,0,0.021233699
07/12/2023 15:00,0,0.046941861,0.000391727,0.008793688,0,0,0.122293826
07/12/2023 16:00,0,0.082715544,0.0002197,0.036915914,0,0,0.150054805
07/12/2023 17:00,0,0.04824653,0,0.019305383,0,0,0.050710071
07/12/2023 18:00,0,0.004586167,0,6.56E-06,0,0,0.000751788
07/12/2023 19:00,0,0,0,3.48E-05,0,0,0
07/12/2023 20:00,0,2.22E-05,0.001971164,0.027420091,0,0,0.000195049
07/12/2023 21:00,0,0.06327857,0.004709192,0.111719126,0,0,0.023154196
07/12/2023 22:00,0,0.247454732,0.002818158,0.155715784,0,0,0.046192623
07/12/2023 23:00,0,0.440565841,0.001126602,0.104378973,0,0,0.024088042
08/12/2023 00:00,0,0.261010307,9.15E-07,0.035666959,0,0,0.000687021
08/12/2023 01:00,0,0.041324344,0,0.000453392,0,0,0
08/12/2023 02:00,0,0,0,0,0,0,0.000242985
08/12/2023 03:00,0,0.015443887,0.001049774,0.008053896,0,0,0.0565262
08/12/2023 04:00,0,0.191126145,0.002505226,0.109997423,0,0,0.152595183
08/12/2023 05:00,0,0.291071378,0.001416413,0.177532672,0,0,0.107596209
08/12/2023 06:00,0,0.195241208,0.000221547,0.092080712,0,0,0.013716898
08/12/2023 07:00,0,0.053785731,0,0.009961338,0,0,0
08/12/2023 08:00,0,0.000913848,0,0,0,0,0
08/12/2023 09:00,0,0,2.10E-05,0.002097837,0,0,0.012159898
08/12/2023 10:00,0,3.08E-05,0.000923737,0.031771279,0,0,0.059667603
08/12/2023 11:00,0,0.009945424,0.000199339,0.049033329,0,0,0.057983799
08/12/2023 12:00,0,0.009768866,0,0.022295324,0,0,0.014041752
08/12/2023 13:00,0,6.85E-05,0,0.000291858,0,0,0
08/12/2023 14:00,0,0,0,0,0,0,0
08/12/2023 15:00,0,0.03585893,0.001194956,0.00382192,0,0,0.010752648
08/12/2023 16:00,0,0.181235619,0.002732352,0.077195786,0,0,0.108447682
08/12/2023 17:00,0,0.224751966,0.001709199,0.136250593,0,0,0.143672198
08/12/2023 18:00,0,0.134203489,6.71E-05,0.063407043,0,0,0.047393318
08/12/2023 19:00,0,0.025659839,0,0.00291746,0,0,0.000130592
08/12/2023 20:00,0,0,0,0,0,0,0
08/12/2023 21:00,0,0,0.001910443,0.018119574,0,0,0.004940457
08/12/2023 22:00,0,0.044530148,0.00519609,0.103578823,0,0,0.062452492
08/12/2023 23:00,0,0.247606557,0.00320629,0.150093133,0,0,0.095532036
09/12/2023 00:00,0,0.507488595,0.000796028,0.101035816,0,0,0.044267943
09/12/2023 01:00,0,0.285053822,0,0.023392426,0,0,0.001660031
09/12/2023 02:00,0,0.027698985,0,0,0,0,0
09/12/2023 03:00,0,0,0.000117195,5.55E-07,0,0,0.002006305
09/12/2023 04:00,0,0.057532806,0.002706128,0.049434593,0,0,0.116766267
09/12/2023 05:00,0,0.255958448,0.003314161,0.227293937,0,0,0.267561186
09/12/2023 06:00,0,0.30684444,0.001214089,0.214341315,0,0,0.184010632
09/12/2023 07:00,0,0.115745101,2.10E-06,0.064411377,0,0,0.024264502
09/12/2023 08:00,0,0.007278746,0,0.000269032,0,0,0
